,Date,Open,High,Low,Close,Adj Close,Volume,Group
97,2022-03-21,41246.132813,41454.410156,40668.042969,41077.996094,41077.996094,24615543271,2
98,2022-03-22,41074.105469,43124.707031,40948.28125,42358.808594,42358.808594,32004652376,0
99,2022-03-23,42364.378906,42893.507813,41877.507813,42892.957031,42892.957031,25242943069,0
100,2022-03-24,42886.652344,44131.855469,42726.164063,43960.933594,43960.933594,31042992291,0
101,2022-03-25,43964.546875,44999.492188,43706.285156,44348.730469,44348.730469,30574413034,0
102,2022-03-26,44349.859375,44735.996094,44166.273438,44500.828125,44500.828125,16950455995,2
103,2022-03-27,44505.355469,46827.546875,44437.292969,46820.492188,46820.492188,28160889722,0
104,2022-03-28,46821.851563,48086.835938,46690.203125,47128.003906,47128.003906,36362175703,4
105,2022-03-29,47100.4375,48022.289063,47100.4375,47465.730469,47465.730469,31397059069,0
106,2022-03-30,47456.898438,47655.148438,46746.210938,47062.664063,47062.664063,29333883962,0
107,2022-03-31,47062.148438,47512.027344,45390.539063,45538.675781,45538.675781,33327427106,0
108,2022-04-01,45554.164063,46616.242188,44403.140625,46281.644531,46281.644531,38162644287,4
109,2022-04-02,46285.5,47028.28125,45782.511719,45868.949219,45868.949219,29336594194,0
110,2022-04-03,45859.128906,47313.476563,45634.105469,46453.566406,46453.566406,25414397610,0
111,2022-04-04,46445.273438,46791.089844,45235.816406,46622.675781,46622.675781,32499785455,0
112,2022-04-05,46624.507813,47106.140625,45544.808594,45555.992188,45555.992188,29640604055,0
113,2022-04-06,45544.355469,45544.355469,43193.953125,43206.738281,43206.738281,39393395788,4
114,2022-04-07,43207.5,43860.699219,42899.90625,43503.847656,43503.847656,26101973106,0
115,2022-04-08,43505.136719,43903.019531,42183.289063,42287.664063,42287.664063,27215995394,0
116,2022-04-09,42282.078125,42786.816406,42183.253906,42782.136719,42782.136719,16050772496,2
117,2022-04-10,42781.089844,43376.378906,42021.207031,42207.671875,42207.671875,17654475582,2
118,2022-04-11,42201.039063,42424.589844,39373.058594,39521.902344,39521.902344,33949912166,0
119,2022-04-12,39533.714844,40617.585938,39388.328125,40127.183594,40127.183594,30991500854,0
120,2022-04-13,40123.570313,41430.054688,39712.746094,41166.730469,41166.730469,27691105228,0
121,2022-04-14,41160.21875,41451.480469,39695.746094,39935.515625,39935.515625,24342001973,2
122,2022-04-15,39939.402344,40617.722656,39866.832031,40553.464844,40553.464844,21756855753,2
123,2022-04-16,40552.316406,40633.679688,40078.425781,40424.484375,40424.484375,16833150693,2
124,2022-04-17,40417.777344,40570.726563,39620.894531,39716.953125,39716.953125,19087633042,2
125,2022-04-18,39721.203125,40986.320313,38696.191406,40826.214844,40826.214844,33705182072,0
126,2022-04-19,40828.175781,41672.960938,40618.632813,41502.75,41502.75,25303206547,0
127,2022-04-20,41501.746094,42126.300781,40961.097656,41374.378906,41374.378906,27819532341,0
128,2022-04-21,41371.515625,42893.582031,40063.828125,40527.363281,40527.363281,35372786395,4
129,2022-04-22,40525.863281,40777.757813,39315.417969,39740.320313,39740.320313,28011716745,0
130,2022-04-23,39738.722656,39935.859375,39352.203125,39486.730469,39486.730469,16138021249,2
131,2022-04-24,39478.375,39845.925781,39233.539063,39469.292969,39469.292969,17964398167,2
132,2022-04-25,39472.605469,40491.753906,38338.378906,40458.308594,40458.308594,35445730570,4
133,2022-04-26,40448.421875,40713.890625,37884.984375,38117.460938,38117.460938,34569088416,4
134,2022-04-27,38120.300781,39397.917969,37997.3125,39241.121094,39241.121094,30981015184,0
135,2022-04-28,39241.429688,40269.464844,38941.421875,39773.828125,39773.828125,33903704907,0
136,2022-04-29,39768.617188,39887.269531,38235.535156,38609.824219,38609.824219,30882994649,0
137,2022-04-30,38605.859375,38771.210938,37697.941406,37714.875,37714.875,23895713731,2
138,2022-05-01,37713.265625,38627.859375,37585.789063,38469.09375,38469.09375,27002760110,0
139,2022-05-02,38472.1875,39074.972656,38156.5625,38529.328125,38529.328125,32922642426,0
140,2022-05-03,38528.109375,38629.996094,37585.621094,37750.453125,37750.453125,27326943244,0
141,2022-05-04,37748.011719,39902.949219,37732.058594,39698.371094,39698.371094,36754404490,4
142,2022-05-05,39695.746094,39789.28125,35856.515625,36575.140625,36575.140625,43106256317,4
143,2022-05-06,36573.183594,36624.359375,35482.132813,36040.921875,36040.921875,37795577489,4
144,2022-05-07,36042.503906,36129.925781,34940.824219,35501.953125,35501.953125,24375896406,2
145,2022-05-08,35502.941406,35502.941406,33878.964844,34059.265625,34059.265625,36763041910,4
146,2022-05-09,34060.015625,34222.074219,30296.953125,30296.953125,30296.953125,63355494961,3
147,2022-05-10,30273.654297,32596.308594,29944.802734,31022.90625,31022.90625,59811038817,3
148,2022-05-11,31016.183594,32013.402344,28170.414063,28936.355469,28936.355469,70388855818,3
149,2022-05-12,28936.734375,30032.439453,26350.490234,29047.751953,29047.751953,66989173272,3
150,2022-05-13,29030.910156,30924.802734,28782.330078,29283.103516,29283.103516,42841124537,4
151,2022-05-14,29285.642578,30192.802734,28702.910156,30101.265625,30101.265625,28579868620,0
152,2022-05-15,30098.585938,31308.191406,29527.740234,31305.113281,31305.113281,25835372065,0
153,2022-05-16,31304.375,31305.341797,29251.884766,29862.917969,29862.917969,32613897286,0
154,2022-05-17,29862.408203,30694.490234,29570.302734,30425.857422,30425.857422,29101473475,0
155,2022-05-18,30424.478516,30618.716797,28720.271484,28720.271484,28720.271484,31285268319,0
156,2022-05-19,28720.359375,30430.751953,28708.955078,30314.333984,30314.333984,33773447707,0
157,2022-05-20,30311.119141,30664.976563,28793.605469,29200.740234,29200.740234,30749382605,0
158,2022-05-21,29199.859375,29588.869141,29027.394531,29432.226563,29432.226563,17274840442,2
159,2022-05-22,29432.472656,30425.861328,29275.183594,30323.722656,30323.722656,21631532270,2
160,2022-05-23,30309.396484,30590.585938,28975.560547,29098.910156,29098.910156,31483454557,0
161,2022-05-24,29101.125,29774.355469,28786.589844,29655.585938,29655.585938,26616506245,0
162,2022-05-25,29653.134766,30157.785156,29384.949219,29562.361328,29562.361328,27525063551,0
163,2022-05-26,29564.777344,29834.160156,28261.90625,29267.224609,29267.224609,36774325352,4
164,2022-05-27,29251.140625,29346.943359,28326.613281,28627.574219,28627.574219,36582005748,4
165,2022-05-28,28622.625,28814.900391,28554.566406,28814.900391,28814.900391,35519577634,4
166,2022-05-29,29019.867188,29498.009766,28841.107422,29445.957031,29445.957031,18093886409,2
167,2022-05-30,29443.365234,31949.630859,29303.572266,31726.390625,31726.390625,39277993274,4
168,2022-05-31,31723.865234,32249.863281,31286.154297,31792.310547,31792.310547,33538210634,0
169,2022-06-01,31792.554688,31957.285156,29501.587891,29799.080078,29799.080078,41135817341,4
170,2022-06-02,29794.890625,30604.734375,29652.705078,30467.488281,30467.488281,29083562061,0
171,2022-06-03,30467.806641,30633.035156,29375.689453,29704.390625,29704.390625,26175547452,0
172,2022-06-04,29706.138672,29930.564453,29500.005859,29832.914063,29832.914063,16588370958,2
173,2022-06-05,29835.117188,30117.744141,29574.449219,29906.662109,29906.662109,17264085441,2
174,2022-06-06,29910.283203,31693.291016,29894.1875,31370.671875,31370.671875,31947336829,0
175,2022-06-07,31371.742188,31489.683594,29311.683594,31155.478516,31155.478516,40770974039,4
176,2022-06-08,31151.480469,31253.691406,29944.404297,30214.355469,30214.355469,30242059107,0
177,2022-06-09,30215.279297,30609.310547,30020.265625,30111.998047,30111.998047,21692004719,2
178,2022-06-10,30110.330078,30245.808594,28978.146484,29083.804688,29083.804688,29867476527,0
179,2022-06-11,29084.666016,29401.916016,28236.212891,28360.810547,28360.810547,27246574439,0
180,2022-06-12,28373.513672,28502.685547,26762.648438,26762.648438,26762.648438,34163220274,4
181,2022-06-13,26737.578125,26795.589844,22141.257813,22487.388672,22487.388672,68204556440,3
182,2022-06-14,22487.986328,23018.951172,20950.818359,22206.792969,22206.792969,50913575242,3
183,2022-06-15,22196.730469,22642.671875,20178.376953,22572.839844,22572.839844,54912007015,3
184,2022-06-16,22576.304688,22868.921875,20265.226563,20381.650391,20381.650391,31183975654,0
185,2022-06-17,20385.71875,21243.3125,20326.519531,20471.482422,20471.482422,27132421514,0
186,2022-06-18,20473.425781,20736.041016,17708.623047,19017.642578,19017.642578,42009436760,4
187,2022-06-19,19010.902344,20683.822266,18067.152344,20553.271484,20553.271484,35329942625,4
188,2022-06-20,20553.371094,20913.322266,19689.169922,20599.537109,20599.537109,30818458597,0
189,2022-06-21,20594.294922,21620.628906,20415.0625,20710.597656,20710.597656,28970212744,0
190,2022-06-22,20719.414063,20835.75,19848.078125,19987.029297,19987.029297,28574793478,0
191,2022-06-23,19986.607422,21135.761719,19950.117188,21085.876953,21085.876953,26188097173,0
192,2022-06-24,21084.648438,21472.917969,20777.511719,21231.65625,21231.65625,24957784918,0
193,2022-06-25,21233.609375,21520.914063,20964.585938,21502.337891,21502.337891,18372538715,2
194,2022-06-26,21496.494141,21783.724609,21016.269531,21027.294922,21027.294922,18027170497,2
195,2022-06-27,21028.238281,21478.089844,20620.199219,20735.478516,20735.478516,20965695707,2
196,2022-06-28,20731.544922,21164.423828,20228.8125,20280.634766,20280.634766,21381535161,2
197,2022-06-29,20281.169922,20364.15625,19937.791016,20104.023438,20104.023438,23552740328,2
198,2022-06-30,20108.3125,20141.160156,18729.65625,19784.726563,19784.726563,26267239923,0
199,2022-07-01,19820.470703,20632.671875,19073.708984,19269.367188,19269.367188,30767551159,0
200,2022-07-02,19274.835938,19371.748047,19027.082031,19242.255859,19242.255859,18100418740,2
201,2022-07-03,19242.095703,19558.269531,18966.951172,19297.076172,19297.076172,16390821947,2
202,2022-07-04,19297.314453,20258.748047,19063.066406,20231.261719,20231.261719,21594638208,2
203,2022-07-05,20225.353516,20635.466797,19341.232422,20190.115234,20190.115234,26715546990,0
204,2022-07-06,20194.619141,20595.529297,19823.511719,20548.246094,20548.246094,24598943708,2
205,2022-07-07,20547.814453,21771.816406,20296.103516,21637.587891,21637.587891,25814972520,0
206,2022-07-08,21637.154297,22314.941406,21257.453125,21731.117188,21731.117188,49899834488,3
207,2022-07-09,21716.828125,21877.138672,21445.957031,21592.207031,21592.207031,29641127858,0
208,2022-07-10,21591.080078,21591.080078,20727.123047,20860.449219,20860.449219,28688807249,0
209,2022-07-11,20856.353516,20856.353516,19924.539063,19970.556641,19970.556641,24150249025,2
210,2022-07-12,19970.474609,20043.445313,19308.53125,19323.914063,19323.914063,25810220018,0
211,2022-07-13,19325.972656,20223.052734,18999.953125,20212.074219,20212.074219,33042430345,0
212,2022-07-14,20211.466797,20789.894531,19689.257813,20569.919922,20569.919922,31158743333,0
213,2022-07-15,20573.15625,21138.244141,20397.0,20836.328125,20836.328125,25905575359,0
214,2022-07-16,20834.103516,21514.404297,20518.898438,21190.316406,21190.316406,24302954056,2
215,2022-07-17,21195.041016,21600.640625,20778.179688,20779.34375,20779.34375,22927802083,2
216,2022-07-18,20781.912109,22633.033203,20781.912109,22485.689453,22485.689453,39974475562,4
217,2022-07-19,22467.849609,23666.962891,21683.40625,23389.433594,23389.433594,48765202697,3
218,2022-07-20,23393.191406,24196.818359,23009.949219,23231.732422,23231.732422,42932549127,4
219,2022-07-21,23233.201172,23388.322266,22431.148438,23164.628906,23164.628906,33631012204,0
220,2022-07-22,23163.751953,23671.927734,22603.416016,22714.978516,22714.978516,31421555646,0
221,2022-07-23,22706.984375,22977.210938,22002.910156,22465.478516,22465.478516,24021799169,2
222,2022-07-24,22465.509766,22974.001953,22306.839844,22609.164063,22609.164063,23565495303,2
223,2022-07-25,22607.15625,22649.121094,21361.642578,21361.701172,21361.701172,35574561406,4
224,2022-07-26,21361.121094,21361.121094,20776.816406,21239.753906,21239.753906,28624673855,0
225,2022-07-27,21244.169922,22986.529297,21070.806641,22930.548828,22930.548828,31758955233,0
226,2022-07-28,22933.640625,24110.470703,22722.265625,23843.886719,23843.886719,40212386158,4
227,2022-07-29,23845.212891,24294.787109,23481.173828,23804.632813,23804.632813,35887249746,4
228,2022-07-30,23796.818359,24572.580078,23580.507813,23656.207031,23656.207031,28148218301,0
229,2022-07-31,23652.070313,24121.642578,23275.703125,23336.896484,23336.896484,23553591896,2
230,2022-08-01,23336.71875,23464.787109,22890.796875,23314.199219,23314.199219,25849159141,0
231,2022-08-02,23308.433594,23415.041016,22710.083984,22978.117188,22978.117188,28389250717,0
232,2022-08-03,22981.302734,23578.650391,22747.835938,22846.507813,22846.507813,26288169966,0
233,2022-08-04,22848.214844,23198.009766,22485.701172,22630.957031,22630.957031,25120229769,0
234,2022-08-05,22626.833984,23422.828125,22612.177734,23289.314453,23289.314453,28881249043,0
235,2022-08-06,23291.423828,23326.5625,22961.279297,22961.279297,22961.279297,15978259885,2
236,2022-08-07,22963.505859,23359.009766,22894.556641,23175.890625,23175.890625,15886817043,2
237,2022-08-08,23179.527344,24203.689453,23176.546875,23809.486328,23809.486328,28575544847,0
238,2022-08-09,23811.484375,23898.615234,22982.0,23164.318359,23164.318359,23555719219,2
239,2022-08-10,23162.898438,24127.414063,22771.519531,23947.642578,23947.642578,32837431722,0
240,2022-08-11,23948.345703,24822.628906,23900.996094,23957.529297,23957.529297,37127036580,4
241,2022-08-12,23957.203125,24412.566406,23657.265625,24402.818359,24402.818359,27265804688,0
242,2022-08-13,24402.1875,24860.050781,24346.115234,24424.068359,24424.068359,22987346289,2
243,2022-08-14,24429.056641,24974.914063,24206.259766,24319.333984,24319.333984,22994133555,2
244,2022-08-15,24318.316406,25135.589844,23839.775391,24136.972656,24136.972656,35123501685,4
245,2022-08-16,24126.136719,24228.416016,23733.5,23883.291016,23883.291016,27753685646,0
246,2022-08-17,23881.316406,24407.058594,23243.353516,23335.998047,23335.998047,30931623076,0
247,2022-08-18,23341.039063,23563.832031,23177.601563,23212.738281,23212.738281,23747613147,2
248,2022-08-19,23213.3125,23213.3125,20868.847656,20877.552734,20877.552734,40509610260,4
249,2022-08-20,20872.841797,21350.806641,20856.730469,21166.060547,21166.060547,27595671000,0
250,2022-08-21,21160.392578,21668.845703,21103.197266,21534.121094,21534.121094,23102307723,2
251,2022-08-22,21531.462891,21531.462891,20939.183594,21398.908203,21398.908203,31666498758,0
252,2022-08-23,21401.044922,21646.203125,20955.138672,21528.087891,21528.087891,31878280659,0
253,2022-08-24,21526.455078,21783.076172,21195.005859,21395.019531,21395.019531,31962253368,0
254,2022-08-25,21395.458984,21789.636719,21362.441406,21600.904297,21600.904297,31028679593,0
255,2022-08-26,21596.085938,21804.908203,20199.482422,20260.019531,20260.019531,42326789564,4
256,2022-08-27,20262.480469,20340.775391,19890.523438,20041.738281,20041.738281,30116729776,0
257,2022-08-28,20041.035156,20139.054688,19616.814453,19616.814453,19616.814453,24366810591,2
258,2022-08-29,19615.154297,20357.462891,19600.785156,20297.994141,20297.994141,32637854078,0
259,2022-08-30,20298.611328,20542.644531,19617.640625,19796.808594,19796.808594,34483360283,4
260,2022-08-31,19799.582031,20420.990234,19799.582031,20049.763672,20049.763672,33225232872,0
261,2022-09-01,20050.498047,20198.390625,19653.96875,20127.140625,20127.140625,30182031010,0
262,2022-09-02,20126.072266,20401.568359,19814.765625,19969.771484,19969.771484,29123998928,0
263,2022-09-03,19969.71875,20037.009766,19698.355469,19832.087891,19832.087891,23613051457,2
264,2022-09-04,19832.470703,19999.689453,19636.816406,19986.712891,19986.712891,25245861652,0
265,2022-09-05,19988.789063,20031.160156,19673.046875,19812.371094,19812.371094,28813460025,0
266,2022-09-06,19817.724609,20155.269531,18800.171875,18837.667969,18837.667969,43403978910,4
267,2022-09-07,18837.683594,19427.171875,18644.466797,19290.324219,19290.324219,35239757134,4
268,2022-09-08,19289.941406,19417.351563,19076.714844,19329.833984,19329.833984,32194477850,0
269,2022-09-09,19328.140625,21439.410156,19310.962891,21381.152344,21381.152344,48469528171,3
270,2022-09-10,21376.912109,21760.275391,21168.722656,21680.539063,21680.539063,36913738894,4
271,2022-09-11,21678.542969,21770.552734,21406.945313,21769.255859,21769.255859,34493951963,4
272,2022-09-12,21770.148438,22439.181641,21603.896484,22370.449219,22370.449219,50212088965,3
273,2022-09-13,22371.480469,22673.820313,20062.669922,20296.707031,20296.707031,51091116622,3
274,2022-09-14,20184.554688,20467.201172,19793.396484,20241.089844,20241.089844,37872380889,4
275,2022-09-15,20242.289063,20318.166016,19636.734375,19701.210938,19701.210938,36389011503,4
276,2022-09-16,19704.005859,19870.628906,19400.076172,19772.583984,19772.583984,30123362273,0
277,2022-09-17,19777.033203,20162.53125,19777.033203,20127.576172,20127.576172,24957448100,0
278,2022-09-18,20127.234375,20127.234375,19387.492188,19419.505859,19419.505859,31254779144,0
279,2022-09-19,19418.572266,19639.480469,18390.318359,19544.128906,19544.128906,40177002624,4
280,2022-09-20,19545.591797,19602.457031,18813.455078,18890.789063,18890.789063,36791346508,4
281,2022-09-21,18891.283203,19674.630859,18290.314453,18547.400391,18547.400391,46363793975,4
282,2022-09-22,18534.650391,19456.910156,18415.591797,19413.550781,19413.550781,41135767926,4
283,2022-09-23,19412.400391,19464.671875,18617.552734,19297.638672,19297.638672,38896078052,4
284,2022-09-24,19296.990234,19310.197266,18861.974609,18937.011719,18937.011719,26149643168,0
285,2022-09-25,18936.310547,19134.732422,18696.46875,18802.097656,18802.097656,23359966112,2
286,2022-09-26,18803.900391,19274.873047,18721.285156,19222.671875,19222.671875,44148798321,4
287,2022-09-27,19221.839844,20338.455078,18915.667969,19110.546875,19110.546875,58571439619,3
288,2022-09-28,19104.621094,19688.34375,18553.296875,19426.720703,19426.720703,53071298734,3
289,2022-09-29,19427.779297,19589.265625,18924.353516,19573.050781,19573.050781,41037843771,4
290,2022-09-30,19573.431641,20109.849609,19265.662109,19431.789063,19431.789063,43975248085,4
291,2022-10-01,19431.105469,19471.154297,19231.082031,19312.095703,19312.095703,18719537670,2
292,2022-10-02,19311.849609,19370.308594,18970.621094,19044.107422,19044.107422,20765955327,2
293,2022-10-03,19044.068359,19653.542969,19025.226563,19623.580078,19623.580078,30484729489,0
294,2022-10-04,19623.583984,20380.34375,19523.839844,20336.84375,20336.84375,35887278685,4
295,2022-10-05,20335.900391,20343.748047,19801.800781,20160.716797,20160.716797,33223790572,0
296,2022-10-06,20161.039063,20408.392578,19900.087891,19955.443359,19955.443359,34711412966,4
297,2022-10-07,19957.558594,20041.085938,19395.792969,19546.849609,19546.849609,29227315390,0
298,2022-10-08,19546.328125,19601.695313,19299.414063,19416.568359,19416.568359,16437423167,2
299,2022-10-09,19417.478516,19542.539063,19349.259766,19446.425781,19446.425781,16837262532,2
300,2022-10-10,19446.416016,19515.466797,19102.978516,19141.484375,19141.484375,27425022774,0
301,2022-10-11,19139.0,19241.960938,18925.603516,19051.417969,19051.417969,28711532910,0
302,2022-10-12,19052.646484,19203.199219,19029.757813,19157.445313,19157.445313,24950173846,0
